lon,lat,E,N,H
101.1397086,12.6582962,732395.417,1400299.723,6.216
101.1396882,12.65827589,732393.223,1400297.457,5.997
101.139774,12.65823322,732402.581,1400292.812,6.832
101.1397737,12.65823279,732402.547,1400292.764,6.208
101.1397532,12.65821354,732400.336,1400290.616,6.168
101.1398198,12.65815183,732407.638,1400283.847,6.329
101.1399012,12.65797994,732416.632,1400264.899,3.033
101.1398382,12.65804477,732409.728,1400272.016,2.515
101.1398486,12.65805561,732410.846,1400273.225,3.713
101.1397902,12.65811835,732404.443,1400280.116,3.569
101.1397679,12.65810625,732402.038,1400278.757,1.957
101.1397186,12.658183,732396.609,1400287.206,3.483
101.1397079,12.65817425,732395.456,1400286.228,2.505
101.1396472,12.65823422,732388.8,1400292.81,2.49
101.1396605,12.65824714,732390.234,1400294.251,3.319
101.1395907,12.65831268,732382.599,1400301.441,3.824
101.1395772,12.65830181,732381.135,1400300.227,2.439
101.1395366,12.65838066,732376.656,1400308.916,3.98
101.1395184,12.6583715,732374.681,1400307.886,2.854
101.1394758,12.65845068,732369.985,1400316.609,4.306
