lon,lat,E,N,H
101.142291,12.65195361,732681.77,1399600.19,-5.2
101.1421096,12.65250778,732661.55,1399661.35,-5.15
101.1422795,12.65180079,732680.66,1399583.27,-5.1
101.1422651,12.65152211,732679.34,1399552.42,-5.09
101.1427944,12.65031807,732737.95,1399419.66,-5.41
101.1425644,12.65085944,732712.47,1399479.36,-5.41
101.1426442,12.65067977,732721.3,1399459.55,-5.41
101.142784,12.6504144,732736.73,1399430.31,-5.38
101.1426483,12.65105343,732721.41,1399500.9,-5.36
101.1427982,12.65051388,732738.18,1399441.33,-5.35
101.1425323,12.65141296,732708.48,1399540.58,-5.34
101.1425346,12.65105407,732709.05,1399500.87,-5.32
101.1427526,12.65075852,732733.01,1399468.36,-5.32
101.142663,12.65086254,732723.18,1399479.79,-5.28
101.1424962,12.65123467,732704.72,1399520.82,-5.25
101.1427405,12.65064403,732731.8,1399455.68,-5.23
101.1431655,12.64952623,732778.99,1399332.37,-5.73
101.1431599,12.64972256,732778.2,1399354.09,-5.63
101.1430939,12.64959729,732771.15,1399340.17,-5.6
101.1430764,12.6497874,732769.07,1399361.19,-5.58
101.142948,12.64997866,732754.95,1399382.24,-5.56
101.1431766,12.64943134,732780.28,1399321.88,-5.53
101.1428322,12.6501494,732742.21,1399401.03,-5.49
101.1429126,12.6503248,732750.79,1399420.51,-5.49
101.1429942,12.65015741,732759.81,1399402.06,-5.49
101.1430421,12.64997574,732765.17,1399382,-5.49
101.1431682,12.64981413,732779.02,1399364.23,-5.47
101.1429218,12.65051559,732751.61,1399441.63,-5.42
101.1431849,12.64933177,732781.28,1399310.87,-5.78
101.1434073,12.6488708,732805.86,1399260.06,-5.75
101.14352,12.64870451,732818.26,1399241.76,-5.73
101.1435068,12.64886666,732816.68,1399259.69,-5.72
101.1433909,12.64922935,732803.75,1399299.72,-5.72
101.143286,12.64922739,732792.36,1399299.41,-5.68
101.1433674,12.64905982,732801.35,1399280.94,-5.66
101.1431888,12.64924047,732781.78,1399300.77,-5.62
101.1432321,12.64959898,732786.16,1399340.48,-5.58
101.1433068,12.64940083,732794.46,1399318.62,-5.53
101.1438955,12.64798502,732859.71,1399162.48,-5.96
101.1437563,12.6481508,732844.43,1399180.7,-5.9
101.143662,12.64849416,732833.88,1399218.61,-5.85
101.1437903,12.64798144,732848.28,1399161.99,-5.85
101.1436972,12.648336,732837.85,1399201.14,-5.84
101.1438014,12.64833272,732849.17,1399200.87,-5.8
101.1435685,12.64850088,732823.71,1399219.27,-5.77
101.1436234,12.64839714,732829.77,1399207.84,-5.72
101.1436189,12.64824454,732829.42,1399190.95,-5.71
101.1436259,12.64859088,732829.87,1399229.28,-5.71
101.1436275,12.64871061,732829.93,1399242.53,-5.61
101.144058,12.6474498,732877.85,1399103.4,-6.17
101.1440639,12.64712342,732878.79,1399067.29,-6.1
101.1442264,12.64686654,732896.68,1399039.01,-6.07
101.1441405,12.64739401,732886.87,1399097.3,-6.06
101.144122,12.64723745,732885,1399079.96,-6.04
101.1441542,12.64704868,732888.67,1399059.1,-6.03
101.1439646,12.64740057,732867.75,1399097.87,-6.02
101.144038,12.64761453,732875.53,1399121.61,-6
101.1439247,12.64777467,732863.07,1399139.23,-5.96
101.1439371,12.6476176,732864.57,1399121.86,-5.96
101.1440533,12.64735711,732877.43,1399093.14,-5.83
101.1440549,12.6477344,732877.26,1399134.89,-5.74
101.1444465,12.64614938,732921.25,1398959.85,-6.15
101.1443772,12.64631333,732913.57,1398977.93,-6.12
101.1445124,12.64597859,732928.57,1398941.01,-6.11
101.144443,12.64668694,732920.38,1399019.33,-6.09
101.1445489,12.64607978,732932.44,1398952.24,-6.08
101.144395,12.6464933,732915.34,1398997.86,-6.07
101.1442874,12.6470505,732903.14,1399059.42,-6.06
101.1445578,12.64635272,732933.16,1398982.45,-6.06
101.1443828,12.64686907,732913.67,1399039.43,-6.03
101.144554,12.64645524,732932.65,1398993.79,-6.01
101.1445573,12.64619828,732933.24,1398965.36,-6
101.1443114,12.64667941,732906.09,1399018.38,-5.99
101.1449203,12.64524528,732973.55,1398860.23,-6.4
101.1448269,12.64560924,732963.07,1398900.42,-6.33
101.1449896,12.64533681,732981,1398870.42,-6.33
101.1446371,12.64579558,732942.28,1398920.87,-6.32
101.1448355,12.64543186,732964.17,1398880.8,-6.27
101.1449467,12.645042,732976.61,1398837.76,-6.23
101.1449424,12.64543235,732975.78,1398880.95,-6.21
101.1447384,12.64543137,732953.62,1398880.66,-6.21
101.1446474,12.64615165,732943.08,1398960.28,-6.18
101.1446856,12.64597376,732947.39,1398940.63,-6.16
101.1448085,12.64524853,732961.4,1398860.49,-6.16
